Route_id,x,y,z
6,1350,0,600
6,1350,0,525
6,1350,0,450
6,1275,0,450
6,1200,0,450
6,1125,0,450
7,675,0,300
7,600,0,300
7,525,0,300
7,450,0,300
7,375,0,300
7,300,0,300
7,225,0,300
7,150,0,300
7,75,0,300
7,0,0,300
7,0,0,375
7,0,0,450
7,0,0,525
7,0,0,600
7,75,0,600
7,150,0,600
7,225,0,600
7,300,0,600
7,375,0,600
7,450,0,600
7,525,0,600
7,600,0,600
7,675,0,600
7,750,0,600
7,825,0,600
7,900,0,600
7,975,0,600
7,1050,0,600
7,1125,0,600
8,1125,0,150
8,1050,0,150
8,975,0,150
8,900,0,150
8,900,0,75
8,900,0,0
8,825,0,0
8,750,0,0
8,675,0,0
8,750,0,0
8,825,0,0
8,900,0,0
8,975,0,0
8,1050,0,0
8,1125,0,0
8,1200,0,0
8,1275,0,0
8,1350,0,0
8,1350,0,75
8,1350,0,150
8,1350,0,225
8,1350,0,300
8,1350,0,375
8,1350,0,450
8,1350,0,525
8,1350,0,600
8,1275,0,600
8,1200,0,600
8,1125,0,600
9,1125,0,450
9,1050,0,450
9,975,0,450
9,900,0,450
9,900,0,375
9,900,0,300
9,825,0,300
9,750,0,300
9,675,0,300
9,600,0,300
9,525,0,300
9,450,0,300
9,450,0,225
9,450,0,150
9,450,0,75
9,450,0,0
9,525,0,0
9,600,0,0
9,675,0,0
9,750,0,0
9,825,0,0
9,900,0,0
9,975,0,0
9,1050,0,0
9,1125,0,0
9,1200,0,0
9,1275,0,0
9,1350,0,0
9,1350,0,75
9,1350,0,150
9,1350,0,225
9,1350,0,300
9,1350,0,375
9,1350,0,450
9,1275,0,450
9,1200,0,450
9,1125,0,450
12,1125,0,450
12,1050,0,450
12,975,0,450
12,900,0,450
12,900,0,375
12,900,0,300
12,900,0,225
12,900,0,150
12,900,0,75
12,900,0,0
12,975,0,0
12,1050,0,0
12,1125,0,0
12,1200,0,0
12,1275,0,0
12,1350,0,0
12,1350,0,75
12,1350,0,150
12,1275,0,150
12,1200,0,150
12,1125,0,150
14,675,0,450
14,600,0,450
14,525,0,450
14,450,0,450
14,450,0,375
14,450,0,300
14,450,0,225
14,450,0,150
14,450,0,75
14,450,0,0
14,525,0,0
14,600,0,0
14,675,0,0
14,750,0,0
14,825,0,0
14,900,0,0
14,975,0,0
14,1050,0,0
14,1125,0,0
15,1125,0,300
15,1050,0,300
15,975,0,300
15,900,0,300
15,825,0,300
15,750,0,300
15,675,0,300
16,225,0,300
16,150,0,300
16,75,0,300
16,0,0,300
16,0,0,225
16,0,0,150
16,0,0,75
16,0,0,0
16,75,0,0
16,150,0,0
16,225,0,0
16,300,0,0
16,375,0,0
16,450,0,0
16,525,0,0
16,600,0,0
16,675,0,0
16,750,0,0
16,825,0,0
16,900,0,0
16,975,0,0
16,1050,0,0
16,1125,0,0
16,1200,0,0
16,1275,0,0
16,1350,0,0
16,1350,0,75
16,1350,0,150
16,1350,0,225
16,1350,0,300
16,1275,0,300
16,1200,0,300
16,1125,0,300
17,675,0,300
17,600,0,300
17,525,0,300
17,450,0,300
17,450,0,375
17,450,0,450
17,450,0,525
17,450,0,600
17,525,0,600
17,600,0,600
17,675,0,600
18,225,0,150
18,150,0,150
18,75,0,150
18,0,0,150
18,0,0,75
18,0,0,0
18,75,0,0
18,150,0,0
18,225,0,0
18,300,0,0
18,375,0,0
18,450,0,0
18,525,0,0
18,600,0,0
18,675,0,0
18,750,0,0
18,825,0,0
18,900,0,0
18,975,0,0
18,1050,0,0
18,1125,0,0
18,1200,0,0
18,1275,0,0
18,1350,0,0
18,1350,0,75
18,1350,0,150
18,1275,0,150
18,1200,0,150
18,1125,0,150
