Route_id,x,y,z
13,300,0,450
13,225,0,450
14,225,0,600
14,300,0,600
14,375,0,600
14,450,0,600
14,525,0,600
14,600,0,600
14,675,0,600
15,225,0,300
15,150,0,300
15,75,0,300
15,0,0,300
15,0,0,375
15,0,0,450
15,0,0,525
15,0,0,600
15,75,0,600
15,150,0,600
15,225,0,600
15,300,0,600
15,375,0,600
15,450,0,600
15,525,0,600
15,600,0,600
15,675,0,600
15,750,0,600
15,825,0,600
15,900,0,600
15,975,0,600
15,1050,0,600
15,1125,0,600
15,1200,0,600
15,1275,0,600
15,1350,0,600
15,1350,0,525
15,1350,0,450
15,1275,0,450
15,1200,0,450
15,1125,0,450
16,675,0,150
16,600,0,150
16,525,0,150
16,450,0,150
16,450,0,225
16,450,0,300
16,450,0,375
16,450,0,450
16,450,0,525
16,450,0,600
16,525,0,600
16,600,0,600
16,675,0,600
17,225,0,150
17,150,0,150
17,75,0,150
17,0,0,150
17,0,0,75
17,0,0,0
17,75,0,0
17,150,0,0
17,225,0,0
17,300,0,0
17,375,0,0
17,450,0,0
17,450,0,75
17,450,0,150
17,450,0,225
17,450,0,300
17,375,0,300
17,300,0,300
17,225,0,300
18,225,0,0
18,300,0,0
18,375,0,0
18,450,0,0
18,525,0,0
18,600,0,0
18,675,0,0
18,750,0,0
18,825,0,0
18,900,0,0
18,900,0,75
18,900,0,150
18,900,0,225
18,900,0,300
18,900,0,375
18,900,0,450
18,900,0,525
18,900,0,600
18,975,0,600
18,1050,0,600
18,1125,0,600
19,675,0,450
19,600,0,450
19,525,0,450
19,450,0,450
19,450,0,375
19,450,0,300
19,375,0,300
19,300,0,300
19,225,0,300
20,1125,0,150
20,1050,0,150
20,975,0,150
20,900,0,150
20,900,0,225
20,900,0,300
20,900,0,375
20,900,0,450
20,900,0,525
20,900,0,600
20,975,0,600
20,1050,0,600
20,1125,0,600
22,675,0,600
22,750,0,600
22,825,0,600
22,900,0,600
22,975,0,600
22,1050,0,600
22,1125,0,600
22,1050,0,600
22,975,0,600
22,900,0,600
22,900,0,525
22,900,0,450
22,825,0,450
22,750,0,450
22,675,0,450
22,600,0,450
22,525,0,450
22,450,0,450
22,450,0,375
22,450,0,300
22,375,0,300
22,300,0,300
22,225,0,300
23,675,0,150
23,600,0,150
23,525,0,150
23,450,0,150
23,450,0,75
23,450,0,0
23,525,0,0
23,600,0,0
23,675,0,0
24,675,0,150
24,600,0,150
24,525,0,150
24,450,0,150
24,450,0,225
24,450,0,300
24,450,0,375
24,450,0,450
24,450,0,525
24,450,0,600
24,525,0,600
24,600,0,600
24,675,0,600
25,675,0,600
25,750,0,600
25,825,0,600
25,900,0,600
25,975,0,600
25,1050,0,600
25,1125,0,600
25,1200,0,600
25,1275,0,600
25,1350,0,600
25,1350,0,525
25,1350,0,450
25,1350,0,375
25,1350,0,300
25,1350,0,225
25,1350,0,150
