Truck_id, Route_id, Origin, Destination, Total Time, Arrival Time,,,,
Truck-13,Route-13,(225.0 0.0 600.0),(225.0 0.0 450.0),135.481,52.283,61.191
Truck-45,Route-45,(1125.0 0.0 150.0),(225.0 0.0 600.0),144.321,0,122.298
Truck-44,Route-44,(225.0 0.0 0.0),(1125.0 0.0 450.0),148.081,0,126.057
Truck-24,Route-24,(675.0 0.0 0.0),(1125.0 0.0 600.0),152.845,0,119.736
Truck-10,Route-10,(1125.0 0.0 300.0),(225.0 0.0 150.0),156.566,52.705,81.852
Truck-19,Route-19,(675.0 0.0 150.0),(675.0 0.0 600.0),162.026,30.026,109.991
Truck-0,Route-0,(675.0 0.0 150.0),(225.0 0.0 0.0),163.467,61.945,79.479
Truck-18,Route-18,(675.0 0.0 300.0),(225.0 0.0 150.0),161.624,80.809,58.789
Truck-49,Route-49,(225.0 0.0 0.0),(225.0 0.0 450.0),160.383,0,138.354
Truck-14,Route-14,(225.0 0.0 150.0),(675.0 0.0 0.0),167.004,33.702,111.294
Truck-26,Route-26,(1125.0 0.0 450.0),(225.0 0.0 300.0),164.801,53.181,89.575
Truck-29,Route-29,(675.0 0.0 300.0),(1125.0 0.0 300.0),168.524,0,146.498
Truck-22,Route-22,(225.0 0.0 150.0),(675.0 0.0 0.0),179.242,77.289,79.433
Truck-9,Route-9,(675.0 0.0 300.0),(225.0 0.0 450.0),184.266,76.069,86.149
Truck-4,Route-4,(1125.0 0.0 0.0),(225.0 0.0 600.0),188.284,0,166.256
Truck-34,Route-34,(675.0 0.0 450.0),(225.0 0.0 0.0),189.962,58.242,109.664
Truck-6,Route-6,(675.0 0.0 150.0),(225.0 0.0 450.0),201.666,69.602,110.011
Truck-25,Route-25,(675.0 0.0 0.0),(225.0 0.0 600.0),207.008,0,173.898
Truck-5,Route-5,(225.0 0.0 150.0),(675.0 0.0 150.0),208.784,30.027,154.731
Truck-39,Route-39,(225.0 0.0 300.0),(675.0 0.0 450.0),209.159,0,187.137
Truck-32,Route-32,(225.0 0.0 300.0),(1125.0 0.0 0.0),217.308,62.568,129.614
Truck-27,Route-27,(225.0 0.0 450.0),(675.0 0.0 300.0),227.14,0,205.117
Truck-31,Route-31,(1125.0 0.0 300.0),(675.0 0.0 300.0),238.681,0,133.256,4.994,56.392
Truck-1,Route-1,(225.0 0.0 150.0),(675.0 0.0 300.0),254.607,61.147,171.425
Truck-30,Route-30,(675.0 0.0 150.0),(1125.0 0.0 450.0),349.521,0,149.178,4.996,151.315
Truck-36,Route-36,(225.0 0.0 0.0),(225.0 0.0 600.0),728.36,0,695.251
Truck-21,Route-21,(225.0 0.0 300.0),(675.0 0.0 600.0),3618.38,0,3585.271
Truck-23,Route-23,(225.0 0.0 600.0),(225.0 0.0 450.0),67.423,0,45.357
Truck-33,Route-33,(225.0 0.0 150.0),(225.0 0.0 0.0),82.389,0,49.148
Truck-42,Route-42,(675.0 0.0 0.0),(225.0 0.0 150.0),80.003,0,57.936
Truck-11,Route-11,(1125.0 0.0 300.0),(225.0 0.0 300.0),83.95,0,61.9
Truck-2,Route-2,(675.0 0.0 0.0),(225.0 0.0 0.0),107.558,39.042,27.048
Truck-23,Route-23,(225.0 0.0 600.0),(225.0 0.0 450.0),70.455,0,48.383
Truck-33,Route-33,(225.0 0.0 150.0),(225.0 0.0 0.0),88.505,0,55.176
Truck-11,Route-11,(1125.0 0.0 300.0),(225.0 0.0 300.0),89.073,0,66.98
Truck-13,Route-13,(1125.0 0.0 300.0),(1125.0 0.0 300.0),17.304,5.035
Truck-0,Route-0,(675.0 0.0 300.0),(675.0 0.0 600.0),101.638,0,67.271
Truck-0,Route-0,(675.0 0.0 300.0),(675.0 0.0 600.0),111.344,0,78.205
Truck-0,Route-0,(675.0 0.0 300.0),(675.0 0.0 600.0),103.347,0,70.291
Truck-7,Route-7,(225.0 0.0 300.0),(1125.0 0.0 300.0),221.163,27.245,171.909
Truck-0,Route-0,(675.0 0.0 300.0),(675.0 0.0 600.0),100.413,0,67.316
Truck-0,Route-0,(675.0 0.0 300.0),(675.0 0.0 600.0),94.037,0,60.949
Truck-7,Route-7,(225.0 0.0 300.0),(1125.0 0.0 300.0),202.265,26.955,153.284
Truck-0,Route-0,(675.0 0.0 300.0),(675.0 0.0 600.0),108.409,0,75.325
Truck-7,Route-7,(225.0 0.0 300.0),(1125.0 0.0 300.0),254.276,26.985,205.282
Truck-9,Route-9,(1125.0 0.0 450.0),(1125.0 0.0 600.0),317.098,0,65.326,26.473,170.196
Truck-0,Route-0,(675.0 0.0 300.0),(675.0 0.0 600.0),99.779,0,66.695
Truck-0,Route-0,(675.0 0.0 300.0),(675.0 0.0 600.0),108.508,0,75.396
Truck-0,Route-0,(675.0 0.0 300.0),(675.0 0.0 600.0),103.933,0,70.86
Truck-0,Route-0,(675.0 0.0 300.0),(675.0 0.0 600.0),48.876,0,32.288
Truck-0,Route-0,(675.0 0.0 300.0),(675.0 0.0 600.0),47.959,0,31.409
